回号,抽せん日,当選番号,ストレート,ボックス,セット（ストレート）,セット（ボックス）,ミニ,販売実績額
0001,1994/10/07,191,42,275.0,18.0,181.0,92,49263000.0
0002,1994/10/14,988,23,77.0,8.0,42.0,73,50632400.0
0003,1994/10/21,194,126,1038.0,126.0,511.0,203,69384200.0
0004,1994/10/28,105,173,844.0,218.0,422.0,152,62531800.0
0005,1994/11/04,592,33,680.0,43.0,474.0,105,55831400.0
0006,1994/11/11,792,49,722.0,29.0,442.0,130,53863400.0
0007,1994/11/18,708,42,284.0,56.0,186.0,121,49586600.0
0008,1994/11/25,234,132,658.0,137.0,317.0,152,47050600.0
0009,1994/12/02,243,61,670.0,43.0,458.0,118,46031800.0
0010,1994/12/09,340,28,389.0,31.0,275.0,55,47894400.0
0011,1994/12/16,326,150,948.0,176.0,546.0,244,50786200.0
0012,1994/12/23,247,169,925.0,154.0,552.0,156,48340200.0
0013,1994/12/30,229,62,118.0,64.0,89.0,138,43237400.0
0014,1995/01/06,743,104,1265.0,98.0,761.0,218,92934400.0
0015,1995/01/10,019,215,1786.0,259.0,1259.0,557,113596600.0
0016,1995/01/13,179,212,1546.0,235.0,1005.0,358,127373800.0
0017,1995/01/17,475,119,999.0,115.0,647.0,251,106380000.0
0018,1995/01/20,291,176,1913.0,198.0,1601.0,218,107932200.0
0019,1995/01/24,852,179,2952.0,194.0,1935.0,412,108162400.0
0020,1995/01/27,502,139,1424.0,211.0,953.0,203,104937400.0
0021,1995/01/31,558,57,124.0,61.0,70.0,337,102479200.0
0022,1995/02/03,951,138,2277.0,202.0,1696.0,512,161906200.0
0023,1995/02/07,912,259,3009.0,344.0,2250.0,975,171516600.0
0024,1995/02/10,039,180,1648.0,226.0,1296.0,633,164372800.0
0025,1995/02/14,458,198,1114.0,231.0,762.0,736,161399000.0
0026,1995/02/17,984,85,824.0,99.0,790.0,476,166250800.0
0027,1995/02/21,917,290,1964.0,410.0,1470.0,1197,169786600.0
0028,1995/02/24,789,242,1316.0,399.0,806.0,509,163109000.0
