digit,feature,importance
n1,weekday,375
n1,weekday_sin,461
n1,weekday_cos,131
n1,prev_n1,977
n1,prev_n2,792
n1,prev_n3,877
n1,digit_sum,1110
n1,odd_count,365
n1,big_count,347
n1,prev_sum,966
n1,prev_odd_count,276
n1,prev_big_count,203
n1,sum_ma_5,1515
n1,sum_ma_10,1698
n1,sum_std_5,1969
n1,sum_std_10,1927
n2,weekday,385
n2,weekday_sin,444
n2,weekday_cos,131
n2,prev_n1,795
n2,prev_n2,862
n2,prev_n3,881
n2,digit_sum,1076
n2,odd_count,409
n2,big_count,328
n2,prev_sum,1025
n2,prev_odd_count,404
n2,prev_big_count,163
n2,sum_ma_5,1432
n2,sum_ma_10,1608
n2,sum_std_5,2087
n2,sum_std_10,1973
n3,weekday,432
n3,weekday_sin,468
n3,weekday_cos,139
n3,prev_n1,1004
n3,prev_n2,901
n3,prev_n3,988
n3,digit_sum,953
n3,odd_count,394
n3,big_count,291
n3,prev_sum,958
n3,prev_odd_count,321
n3,prev_big_count,165
n3,sum_ma_5,1474
n3,sum_ma_10,1616
n3,sum_std_5,2191
n3,sum_std_10,1914
