target_round,actual,set_pick,set_hit,set_prize,set_profit,match_exact,match_box
6914,388,672,外れ,0,-200,0,0
6913,470,670,外れ,0,-200,0,0
6912,160,121,外れ,0,-200,0,0
6911,105,400,外れ,0,-200,0,0
6910,037,108,外れ,0,-200,0,0
6909,388,180,外れ,0,-200,0,0
6908,461,774,外れ,0,-200,0,0
6907,447,401,外れ,0,-200,0,0
6906,073,644,外れ,0,-200,0,0
6905,643,544,外れ,0,-200,0,0
6904,443,973,外れ,0,-200,0,0
6903,527,836,外れ,0,-200,0,0
6902,949,367,外れ,0,-200,0,0
6901,932,973,外れ,0,-200,0,0
6900,590,633,外れ,0,-200,0,0
6899,597,040,外れ,0,-200,0,0
6898,345,060,外れ,0,-200,0,0
6897,325,233,外れ,0,-200,0,0
6896,784,166,外れ,0,-200,0,0
6895,982,470,外れ,0,-200,0,0
6894,673,680,外れ,0,-200,0,0
6893,649,151,外れ,0,-200,0,0
6892,620,656,外れ,0,-200,0,0
6891,696,004,外れ,0,-200,0,0
6890,622,560,外れ,0,-200,0,0
6889,921,454,外れ,0,-200,0,0
6888,089,970,外れ,0,-200,0,0
6887,395,730,外れ,0,-200,0,0
6886,319,408,外れ,0,-200,0,0
6885,862,959,外れ,0,-200,0,0
